Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Mounting Type,Operating Temperature,Applications,Ratings,Package / Case,Size / Dimension,Height - Seated (Max),Thickness (Max),Lead Spacing,Features,Lead Style,Stock Capacitance,Stock,Query,Package,Device
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-5301-ND,FK18X7R1H473K,TDK Corporation,CAP CER 0.047UF 50V 10% RADIAL,3061,0,0.29,0,1,Bulk,FK,0.047åuF,å±10%,50V,X7R,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.098"" (2.50mm)",-,Formed Leads - Kinked,#N/A,,0.047åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-4717-ND,FK28C0G1H180J,TDK Corporation,CAP CER 18PF 50V 5% RADIAL,2338,0,0.29,0,1,Bulk,FK,18pF,å±5%,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,#N/A,,18pF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-5302-ND,FK18X7R1H683K,TDK Corporation,CAP CER 0.068UF 50V 10% RADIAL,2286,0,0.29,0,1,Bulk,FK,0.068åuF,å±10%,50V,X7R,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.098"" (2.50mm)",-,Formed Leads - Kinked,#N/A,,0.068åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-4775-ND,FK18C0G1H221J,TDK Corporation,CAP CER 220PF 50V 5% RADIAL,2283,0,0.29,0,1,Bulk,FK,220pF,å±5%,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.098"" (2.50mm)",-,Formed Leads - Kinked,#N/A,,220pF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-4764-ND,FK18C0G1H270J,TDK Corporation,CAP CER 27PF 50V 5% RADIAL,1236,0,0.29,0,1,Bulk,FK,27pF,å±5%,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.098"" (2.50mm)",-,Formed Leads - Kinked,#N/A,,27pF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-8375-ND,FK18C0G1H010C,TDK Corporation,CAP CER 1PF 50V RADIAL,2215,0,0.29,0,1,Bulk,FK,1pF,å±0.25pF,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.098"" (2.50mm)",-,Formed Leads - Kinked,#N/A,,1pF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_midvoltage_en.pdf,http://media.digikey.com/Photos/TDK%20Photos/FK54-SERIES.jpg,445-2644-ND,FK20X7R2E104K,TDK Corporation,CAP CER 0.1UF 250V 10% RADIAL,0,0,0.2,0,2000,Bulk,FK,0.1åuF,å±10%,250V,X7R,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.217"" L x 0.157"" W (5.50mm x 4.00mm)","0.276"" (7.00mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,STOCK,,0.1åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-8390-ND,FK18C0G1H4R7C,TDK Corporation,CAP CER 4.7PF 50V RADIAL,2114,0,0.29,0,1,Bulk,FK,4.7pF,å±0.25pF,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.098"" (2.50mm)",-,Formed Leads - Kinked,#N/A,,4.7pF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-8376-ND,FK18C0G1H020C,TDK Corporation,CAP CER 2PF 50V RADIAL,1976,0,0.29,0,1,Bulk,FK,2pF,å±0.25pF,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.098"" (2.50mm)",-,Formed Leads - Kinked,#N/A,,2pF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-4721-ND,FK28C0G1H390J,TDK Corporation,CAP CER 39PF 50V 5% RADIAL,1865,0,0.29,0,1,Bulk,FK,39pF,å±5%,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,#N/A,,39pF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-8586-ND,FK28C0G1H4R7C,TDK Corporation,CAP CER 4.7PF 50V RADIAL,1589,0,0.29,0,1,Bulk,FK,4.7pF,å±0.25pF,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,#N/A,,4.7pF,,
