"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Color,Wavelength - Dominant,Wavelength - Peak,Millicandela Rating,Voltage - Forward (Vf) (Typ),Current - Test,Viewing Angle,Lens Type,Lens Style/Size,Package / Case,Size / Dimension,Height,Mounting Type,Target color?,Bright,Stock,Query,Package,Device
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-342.pdf,"http://media.digikey.com/photos/Rohm%20Photos/SLA-360MT3F,SLA-360LT3F.jpg",511-1251-ND,SLR-342YC3F,Rohm Semiconductor,LED 3.1MM 585NM YELLOW TRANSP,2048,0,0.52,0,1,Bulk,-,Yellow,587nm,-,16mcd,2.1V,10mA,40Â°,"Clear, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.20mm,Through Hole,Stock,,,Yellow,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-322.pdf,"http://media.digikey.com/photos/Rohm%20Photos/SLA-360MT3F,SLA-360LT3F.jpg",511-1230-ND,SLR-322YY3F,Rohm Semiconductor,LED 3.1X2MM 585NM YELLOW DIFF,815,0,0.52,0,1,Bulk,-,Yellow,587nm,585nm,10mcd,2.1V,10mA,50Â°,"Diffused, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.20mm,Through Hole,Stock,,,Yellow,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/sli-343.pdf,"http://media.digikey.com/Photos/Rohm%20Photos/SLR-343YCT32,SLI-343YC3F.jpg",511-1212-ND,SLI-343YC3F,Rohm Semiconductor,LED 3.1MM 591NM YELLOW TRANSP,203,0,0.72,0,1,Bulk,-,Yellow,587nm,591nm,350mcd,1.9V,20mA,40Â°,"Clear, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,bright,Stock,YellowbrightStock,LEDRD250W50D400H640_HS,TH-ROHM-4X6-ROUND
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-343.pdf,http://media.digikey.com/Photos/Rohm%20Photos/Radial%20LED%20Blue-Green.jpg,846-1138-ND,SLR343EC4T3F,Rohm Semiconductor,LED 3.1MM 468NM BL-GRN WTR CLEAR,285,0,1.82,0,1,Bulk,SLR-343,Blue-Green,525nm,523nm,1500mcd,3.2V,20mA,40Â°,Clear,"Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,#N/A,,,Blue-Green,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/sli-343v8.pdf,http://media.digikey.com/Photos/Rohm%20Photos/SLR-343MCT32.jpg,SLI-343P8G3F-ND,SLI-343P8G3F,Rohm Semiconductor,LED 3.1MM 560NM GREEN DIFFUSED,0,0,0.10395,0,2000,Bulk,EXCELEDâ„¢,Green,560nm,560nm,22mcd,2.2V,20mA,40Â°,"Diffused, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,,,Green,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/sli-343v8.pdf,http://media.digikey.com/Photos/Rohm%20Photos/SLR-343MCT32.jpg,SLI-343P8C3F-ND,SLI-343P8C3F,Rohm Semiconductor,LED 3.1MM 560NM GREEN TRANSPAREN,0,0,0.10395,0,2000,Bulk,-,Green,560nm,560nm,22mcd,2.2V,20mA,40Â°,"Clear, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,,,Green,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/sli-343v8.pdf,http://media.digikey.com/Photos/Rohm%20Photos/SLR-343MCT32.jpg,846-1135-ND,SLI-343M8G3F,Rohm Semiconductor,LED 3.1MM 572NM YW/GN DIFFUSED,0,0,0.10395,0,2000,Bulk,EXCELEDâ„¢,Green,572nm,572nm,150mcd,2.2V,20mA,40Â°,"Diffused, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,,,Green,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/sli-343v8.pdf,http://media.digikey.com/Photos/Rohm%20Photos/SLR-343MCT32.jpg,SLI-343M8C3F-ND,SLI-343M8C3F,Rohm Semiconductor,LED 3.1MM 572NM YW/GN TRANSPAREN,0,0,0.10395,0,2000,Bulk,-,Green,572nm,572nm,150mcd,2.2V,20mA,40Â°,"Clear, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,,,Green,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/sli-343v8.pdf,"http://media.digikey.com/Photos/Rohm%20Photos/SLR-343YCT32,SLI-343YC3F.jpg",SLI-343Y8Y3F-ND,SLI-343Y8Y3F,Rohm Semiconductor,LED 3.1MM 593NM YLW DIFFUSED,0,0,0.10395,0,2000,Bulk,EXCELEDâ„¢,Yellow,590nm,593nm,470mcd,2.2V,20mA,40Â°,"Diffused, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,,,Yellow,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/sli-343v8.pdf,"http://media.digikey.com/Photos/Rohm%20Photos/SLR-343YCT32,SLI-343YC3F.jpg",SLI-343Y8C3F-ND,SLI-343Y8C3F,Rohm Semiconductor,LED 3.1MM 593NM YLW TRANSPARENT,0,0,0.10395,0,2000,Bulk,-,Yellow,590nm,593nm,680mcd,2.2V,20mA,40Â°,"Clear, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,,,Yellow,LEDRD250W50D400H640_HS,4x6-TH-LED
