Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Voltage - Zener (Nom) (Vz),Tolerance,Power - Max,Impedance (Max) (Zzt),Current - Reverse Leakage @ Vr,Voltage - Forward (Vf) (Max) @ If,Operating Temperature,Mounting Type,Package / Case,Supplier Device Package,Target Voltage,Stock,Query,Package,Device
http://www.onsemi.com/pub_link/Collateral/1N5913B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/DO-204AL.jpg,1N5953BRLGOSCT-ND,1N5953BRLG,ON Semiconductor,DIODE ZENER 150V 3W AXIAL,3222,0,0.44,0,1,Cut Tape (CT),-,150V,å±5%,3W,600 Ohm,1åµA @ 114V,1.5V @ 200mA,-65å¡C ~ 200å¡C,Through Hole,"DO-204AL, DO-41, Axial",Axial,#N/A,,150V,,
http://www.onsemi.com/pub_link/Collateral/1N5913B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/DO-204AL.jpg,1N5953BGOS-ND,1N5953BG,ON Semiconductor,DIODE ZENER 150V 3W AXIAL,765,10000,0.43,0,1,Bulk,-,150V,å±5%,3W,600 Ohm,1åµA @ 114V,1.5V @ 200mA,-65å¡C ~ 200å¡C,Through Hole,"DO-204AL, DO-41, Axial",Axial,#N/A,,150V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5383BRLOSCT-ND,1N5383BRL,ON Semiconductor,DIODE ZENER 150V 5W AXIAL,0,0,Call,0,10,Cut Tape (CT),-,150V,å±5%,5W,330 Ohm,500nA @ 114V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,150V,,
http://www.onsemi.com/pub_link/Collateral/1N5913B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/DO-204AL.jpg,1N5953B-ND,1N5953B,ON Semiconductor,DIODE ZENER 150V 3W AXIAL,0,0,Call,0,6000,Bulk,-,150V,å±5%,3W,600 Ohm,1åµA @ 114V,1.5V @ 200mA,-65å¡C ~ 200å¡C,Through Hole,"DO-204AL, DO-41, Axial",Axial,#N/A,,150V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5383BOS-ND,1N5383B,ON Semiconductor,DIODE ZENER 150V 5W AXIAL,0,0,Call,0,4000,Bulk,-,150V,å±5%,5W,330 Ohm,500nA @ 114V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,150V,,
http://www.onsemi.com/pub_link/Collateral/1N5913B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/DO-204AL.jpg,1N5929BRLGOSCT-ND,1N5929BRLG,ON Semiconductor,DIODE ZENER 15V 3W AXIAL,27032,0,0.41,0,1,Cut Tape (CT),-,15V,å±5%,3W,9 Ohm,1åµA @ 11.4V,1.5V @ 200mA,-65å¡C ~ 200å¡C,Through Hole,"DO-204AL, DO-41, Axial",Axial,Stock,,15V,,
http://www.onsemi.com/pub_link/Collateral/1N5913B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/DO-204AL.jpg,1N5929BGOS-ND,1N5929BG,ON Semiconductor,DIODE ZENER 15V 3W AXIAL,4317,4000,0.39,0,1,Bulk,-,15V,å±5%,3W,9 Ohm,1åµA @ 11.4V,1.5V @ 200mA,-65å¡C ~ 200å¡C,Through Hole,"DO-204AL, DO-41, Axial",Axial,Stock,,15V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5352BGOS-ND,1N5352BG,ON Semiconductor,DIODE ZENER 15V 5W AXIAL,5661,0,0.53,0,1,Bulk,-,15V,å±5%,5W,2.5 Ohm,1åµA @ 11.5V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,Stock,Stock,15VStock,DIOAD1660W102L890D370_HS,TH-T18
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5352BRLGOSCT-ND,1N5352BRLG,ON Semiconductor,DIODE ZENER 15V 5W AXIAL,3575,0,0.54,0,1,Cut Tape (CT),-,15V,å±5%,5W,2.5 Ohm,1åµA @ 11.5V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,Stock,,15V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5352BRLOSCT-ND,1N5352BRL,ON Semiconductor,DIODE ZENER 15V 5W AXIAL,0,0,Call,0,10,Cut Tape (CT),-,15V,å±5%,5W,2.5 Ohm,1åµA @ 11.5V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,Stock,,15V,,
http://www.onsemi.com/pub_link/Collateral/1N5913B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/DO-204AL.jpg,1N5929BRLOSCT-ND,1N5929BRL,ON Semiconductor,DIODE ZENER 15V 3W AXIAL,0,0,Call,0,10,Cut Tape (CT),-,15V,å±5%,3W,9 Ohm,1åµA @ 11.4V,1.5V @ 200mA,-65å¡C ~ 200å¡C,Through Hole,"DO-204AL, DO-41, Axial",Axial,Stock,,15V,,
http://www.onsemi.com/pub_link/Collateral/1N5913B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/DO-204AL.jpg,1N5929B-ND,1N5929B,ON Semiconductor,DIODE ZENER 15V 3W AXIAL,0,0,Call,0,6000,Bulk,-,15V,å±5%,3W,9 Ohm,1åµA @ 11.4V,1.5V @ 200mA,-65å¡C ~ 200å¡C,Through Hole,"DO-204AL, DO-41, Axial",Axial,Stock,,15V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5352BOS-ND,1N5352B,ON Semiconductor,DIODE ZENER 15V 5W AXIAL,0,0,Call,0,5000,Bulk,-,15V,å±5%,5W,2.5 Ohm,1åµA @ 11.5V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,Stock,,15V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5384BGOS-ND,1N5384BG,ON Semiconductor,DIODE ZENER 160V 5W AXIAL,5268,15000,0.53,0,1,Bulk,-,160V,å±5%,5W,350 Ohm,500nA @ 122V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,160V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5384BOS-ND,1N5384B,ON Semiconductor,DIODE ZENER 160V 5W AXIAL,0,0,Call,0,4000,Bulk,-,160V,å±5%,5W,350 Ohm,500nA @ 122V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,160V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5353BRLGOSCT-ND,1N5353BRLG,ON Semiconductor,DIODE ZENER 16V 5W AXIAL,10299,0,0.52,0,1,Cut Tape (CT),-,16V,å±5%,5W,2.5 Ohm,1åµA @ 12.2V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,16V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5353BGOS-ND,1N5353BG,ON Semiconductor,DIODE ZENER 16V 5W AXIAL,3083,0,0.53,0,1,Bulk,-,16V,å±5%,5W,2.5 Ohm,1åµA @ 12.2V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,16V,,
http://www.onsemi.com/pub_link/Collateral/3EZ6.2D5-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/DO-204AL.jpg,3EZ16D5RLGOSCT-ND,3EZ16D5RLG,ON Semiconductor,DIODE ZENER 16V 3W AXIAL,0,0,Call,0,1,Cut Tape (CT),-,16V,å±5%,3W,5.5 Ohm,500nA @ 12.2V,1.5V @ 200mA,-65å¡C ~ 200å¡C,Through Hole,"DO-204AL, DO-41, Axial",Axial,#N/A,,16V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5353BOS-ND,1N5353B,ON Semiconductor,DIODE ZENER 16V 5W AXIAL,0,0,Call,0,2000,Bulk,-,16V,å±5%,5W,2.5 Ohm,1åµA @ 12.2V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,16V,,
