"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Color,Wavelength - Dominant,Wavelength - Peak,Millicandela Rating,Voltage - Forward (Vf) (Typ),Current - Test,Viewing Angle,Lens Type,Lens Style/Size,Package / Case,Size / Dimension,Height,Mounting Type,Stock Color?,Stock,Brightness,Query,Package,Device,Column3
http://optoelectronics.liteon.com/upload/download/DS-22-99-0189/S_110_LTST-C190KSKT.pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C190KGKT,LTST-C190KRKT,LTST-C190KSKT,LTST-C190KYKT.jpg",160-1437-1-ND,LTST-C190KSKT,Lite-On Inc,LED YELLOW CLEAR 0603 SMD,97470,0,0.3,0,1,Cut Tape (CT),-,Yellow,591nm,588nm,104mcd,2.1V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.06mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.80mm,Surface Mount,Stock,,,Yellow,,,
http://optoelectronics.liteon.com/upload/download/DS22-2006-114/S_110_LTST-C194KSKT.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C194KFKT.jpg,160-1836-1-ND,LTST-C194KSKT,Lite-On Inc,LED YELLOW RECT CLEAR 0603,13588,0,0.43,0,1,Cut Tape (CT),-,Yellow,592nm,588nm,104mcd,2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.15mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.30mm,Surface Mount,#N/A,,,Yellow,,,
http://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C190YKT.pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C190AKT,LTST-C190CKT,LTST-C190EKT,LTST-C190GKT,LTST-C190YKT.jpg",160-1184-1-ND,LTST-C190YKT,Lite-On Inc,LED YELLOW CLEAR 0603 SMD,89454,0,0.3,0,1,Cut Tape (CT),-,Yellow,588nm,585nm,6mcd,2.1V,10mA,130Â°,Clear,"Rectangle with Flat Top, 1.06mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.80mm,Surface Mount,Stock,Stock,dim,YellowdimStock,,2012-0805,
http://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C193KRKT-2A.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C193TBKT-5A.jpg,160-1909-1-ND,LTST-C193KRKT-2A,Lite-On Inc,LED RED CLR THIN SMD,25473,0,0.45,0,1,Cut Tape (CT),-,Red,629nm,639nm,6.5mcd,1.9V,2mA,130Â°,Clear,"Rectangle with Flat Top, 1.15mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.35mm,Surface Mount,#N/A,,,Red,,,
http://optoelectronics.liteon.com/upload/download/DS22-2004-141/S_110_LTST-C193KSKT-5A.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C194KFKT.jpg,160-1831-1-ND,LTST-C193KSKT-5A,Lite-On Inc,LED YELLOW RECT CLEAR 0603,29432,0,0.43,0,1,Cut Tape (CT),-,Yellow,591nm,591nm,26.05mcd,2V,5mA,130Â°,Clear,"Rectangle with Flat Top, 1.15mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.35mm,Surface Mount,Stock,,,Yellow,,,
http://optoelectronics.liteon.com/upload/download/DS22-2005-186/S_110_LTW-C194TS5.pdf,http://media.digikey.com/Photos/Lite%20On%20Photos/LTW-C194TS5.jpg,160-1839-1-ND,LTW-C194TS5,Lite-On Inc,LED WHITE RECT DIFFUSED 0603,18118,0,0.54,0,1,Cut Tape (CT),-,"White, Cool",8700K,-,101mcd,2.93V,5mA,130Â°,"Diffused, Tinted","Rectangle with Flat Top, 1.15mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.30mm,Surface Mount,#N/A,,,"White, Cool",,,
http://optoelectronics.liteon.com/upload/download/DS-22-99-0192/S_110_LTST-C190KYKT.pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C190KGKT,LTST-C190KRKT,LTST-C190KSKT,LTST-C190KYKT.jpg",160-1438-1-ND,LTST-C190KYKT,Lite-On Inc,LED AMBER YELLOW CLEAR 0603 SMD,0,0,Call,0,1,Cut Tape (CT),-,Amber,595nm,598nm,80mcd,2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.06mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.80mm,Surface Mount,,,,Amber,,,
http://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C191AKT.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C191TGKT.jpg,160-1440-1-ND,LTST-C191AKT,Lite-On Inc,LED AMBER CLEAR THIN 0603 SMD,0,0,Call,0,1,Cut Tape (CT),-,Amber,602nm,610nm,4.5mcd,2.1V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.1mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.55mm,Surface Mount,,,,Amber,,,
http://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C190EKT.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C191TGKT.jpg,160-1442-1-ND,LTST-C191EKT,Lite-On Inc,LED RED ORANGE CLR THIN 0603 SMD,0,0,Call,0,1,Cut Tape (CT),-,Red,621nm,630nm,4.5mcd,2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.1mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.55mm,Surface Mount,,,,Red,,,
http://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C191KAKT.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C191TGKT.jpg,160-1444-1-ND,LTST-C191KAKT,Lite-On Inc,LED RED ORANGE CLR THIN 0603 SMD,0,0,Call,0,1,Cut Tape (CT),-,Red,615nm,621nm,55mcd,2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.1mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.55mm,Surface Mount,,,,Red,,,
